Timestamp (ms),F_IMU_GYRO_Z
7053,-0.125
7063,0.0
7073,0.0
7083,-0.0625
7094,0.0
7103,0.0625
7113,-0.125
7123,-0.125
7138,0.0
7144,0.0625
7153,-0.0625
7163,0.0625
7173,0.0625
7173,0.0625
7184,-0.0625
7194,-0.1875
7203,-0.125
7213,-0.125
7224,0.0
7234,-0.0625
7244,-0.125
7254,0.1875
7264,0.0
7274,0.0
7289,-0.0625
7294,0.0625
7304,-0.125
7314,-0.0625
7324,-0.0625
7324,-0.0625
7334,-0.125
7344,0.0625
7354,0.125
7364,-0.1875
7374,-0.0625
7374,-0.0625
7384,-0.0625
7394,-0.0625
7404,0.0625
7414,0.0
7424,0.0625
7424,0.0625
7434,0.0
7444,0.0625
7454,-0.0625
7464,0.125
7474,0.0
7486,0.0
7494,0.0625
7504,0.125
7514,0.0625
7524,0.0625
7534,-0.0625
7544,-0.0625
7554,0.0
7564,0.0625
7574,0.0
7585,-0.0625
7594,-0.0625
7604,-0.0625
7614,-0.0625
7624,0.0
7637,0.125
7645,0.0
7654,0.0625
7664,-0.1875
7675,0.0
7685,-0.0625
7695,-0.0625
7704,0.0625
7714,0.125
7724,0.0
7724,0.0
7735,0.0
7745,0.125
7754,0.0
7764,-0.0625
7774,-0.1875
7774,-0.1875
7785,0.0625
7795,-0.0625
7804,-0.0625
7815,0.0625
7825,0.0
7838,0.0
7845,0.0
7855,0.0625
7865,0.0625
7875,0.0625
7885,-0.0625
7895,0.0
7904,0.0
7915,-0.125
7925,-0.0625
7935,-0.0625
7945,-0.125
7955,-0.125
7965,-0.125
7975,-0.125
7985,0.0625
7995,0.0
8004,0.0
8015,0.0
8025,0.125
8025,0.125
8036,-0.125
8045,0.125
8054,0.125
8065,0.0625
8075,-0.0625
8075,-0.0625
8088,0.0625
8095,0.0625
8104,0.0625
8115,0.0625
8125,0.0625
8136,0.0
8145,0.0625
8155,0.0625
8165,-0.0625
8175,-0.0625
8186,0.0
8195,0.0
8204,0.0
