Timestamp (ms),F_IMU_GYRO_X
11596,0.0
11606,-0.1875
11613,-0.1875
11626,-0.1875
11637,-0.0625
11646,-0.0625
11656,-0.1875
11663,-0.25
11676,-0.125
11676,-0.125
11689,-0.0625
11696,-0.0625
11706,-0.125
11713,-0.1875
11726,-0.0625
11726,-0.0625
11738,-0.125
11746,-0.125
11756,-0.0625
11763,-0.125
11776,-0.0625
11776,-0.0625
11787,-0.0625
11796,-0.0625
11806,-0.125
11813,-0.3125
11826,-0.25
11826,-0.25
11837,-0.25
11846,-0.25
11856,-0.0625
11863,-0.0625
11876,-0.125
11888,-0.1875
11896,-0.1875
11906,-0.1875
11913,-0.125
11926,-0.125
11938,-0.0625
11946,-0.0625
11956,-0.1875
11963,-0.125
11976,0.0
11976,0.0
11990,-0.125
11997,-0.125
12006,-0.0625
12013,-0.0625
12026,-0.125
12038,-0.0625
12045,-0.125
12056,-0.125
12063,-0.0625
12075,-0.125
12075,-0.125
12088,-0.0625
12095,-0.125
12105,-0.125
12113,-0.0625
12125,-0.25
12125,-0.25
12138,-0.1875
12145,-0.125
12155,-0.125
12163,-0.125
12175,-0.1875
12175,-0.1875
12188,-0.0625
12194,-0.1875
12205,-0.125
12213,-0.0625
12225,-0.125
12225,-0.125
12239,-0.0625
12245,-0.0625
12255,-0.125
12263,-0.0625
12275,-0.1875
12275,-0.1875
12286,0.0
12294,0.0
12305,-0.125
12313,-0.1875
12324,-0.125
12324,-0.125
12336,-0.125
12344,-0.125
12354,-0.0625
12363,-0.1875
12374,-0.25
12386,-0.1875
12394,0.0
12404,-0.125
12413,-0.1875
12424,0.0
12424,0.0
12440,-0.0625
12446,-0.0625
12454,-0.125
12463,-0.125
12474,-0.125
12474,-0.125
12484,-0.1875
12494,-0.25
12503,-0.125
12513,-0.125
12523,-0.125
12523,-0.125
12535,-0.1875
12543,-0.1875
12553,-0.1875
12563,-0.125
12573,-0.125
12573,-0.125
12585,-0.0625
12593,-0.125
12603,-0.125
12613,-0.0625
12623,-0.1875
12639,-0.25
12644,-0.125
12653,-0.125
12663,-0.125
12673,0.0
12683,-0.125
12693,-0.125
12703,-0.1875
12713,0.0
12723,-0.125
12723,-0.125
12733,0.0
12743,-0.0625
12753,-0.125
12763,-0.1875
12773,-0.125
12789,-0.0625
12793,-0.125
12803,-0.125
12813,-0.125
12823,-0.125
12833,0.0
12843,-0.125
12853,-0.125
12863,-0.1875
12873,-0.125
12883,-0.25
12893,-0.0625
12903,0.0
12913,0.0
12923,0.0
12939,-0.125
12943,0.0
12953,-0.125
12963,-0.1875
12973,-0.125
12973,-0.125
12983,-0.125
12993,-0.1875
13003,-0.125
13013,-0.125
13023,-0.1875
13033,-0.125
13043,-0.125
13053,-0.0625
13064,0.0
13073,-0.125
13073,-0.125
13088,0.0625
13093,0.0625
13103,-0.125
13114,-0.1875
13123,-0.1875
13123,-0.1875
13133,-0.125
13143,-0.125
13153,-0.1875
13164,-0.0625
13173,-0.125
13183,-0.25
13193,-0.25
13204,-0.125
13214,-0.0625
13224,-0.1875
13234,-0.1875
13244,-0.0625
13254,0.0
13264,-0.0625
13274,-0.0625
13274,-0.0625
13288,0.0
13294,-0.125
13304,-0.25
13314,-0.1875
13324,0.0625
13334,0.0
13344,-0.125
13354,-0.125
13364,-0.1875
13374,-0.25
13384,-0.1875
13394,-0.0625
13404,-0.0625
13414,-0.25
13424,-0.125
13424,-0.125
13436,-0.0625
13444,-0.125
13454,-0.25
13464,-0.0625
13474,-0.0625
13474,-0.0625
13484,-0.125
13494,-0.125
13504,-0.125
13514,-0.0625
13524,-0.1875
13524,-0.1875
13535,-0.25
13544,-0.125
13554,-0.1875
13564,-0.0625
13574,-0.0625
13574,-0.0625
13585,0.0
13594,0.0
13604,0.0
13614,-0.125
13624,-0.1875
13638,-0.125
13644,-0.0625
13654,-0.125
13665,-0.0625
13674,-0.125
13685,-0.125
13694,-0.3125
13705,-0.1875
13715,-0.125
13724,-0.25
13735,-0.0625
13744,-0.25
13754,-0.1875
13765,-0.125
13775,-0.1875
13775,-0.1875
13785,-0.125
13795,-0.1875
13805,-0.1875
13815,-0.1875
13824,-0.25
13824,-0.25
13837,-0.0625
13845,-0.1875
13855,-0.125
13865,0.0
13875,-0.125
13885,0.0
13895,0.0
13905,0.0625
13915,-0.3125
13924,-0.3125
13924,-0.3125
13935,-0.125
13945,-0.0625
13955,-0.0625
13965,-0.0625
13975,-0.0625
13975,-0.0625
13985,-0.25
13995,-0.3125
14005,-0.0625
14015,-0.0625
14024,-0.0625
14024,-0.0625
14035,-0.3125
14045,-0.25
14055,-0.125
14065,-0.125
14075,-0.125
14087,-0.125
14095,-0.1875
14105,-0.25
14115,-0.25
14124,-0.25
14135,-1.8125
14145,-1.625
14155,-0.6875
14166,-0.6875
14174,0.4375
14186,-0.1875
14195,-0.1875
14205,-0.5625
14216,0.0
14224,-0.1875
14236,-0.125
14245,-0.125
14256,-0.3125
14266,0.3125
14275,0.375
14286,0.0625
14296,0.0625
14306,-0.125
14316,0.125
14323,-0.1875
14323,-0.1875
14337,-0.1875
14346,-0.1875
14356,-0.125
14366,-0.0625
14374,0.0625
14386,-0.3125
14396,-0.375
14406,-0.1875
14416,-0.125
14423,-0.1875
14423,-0.1875
14436,-0.125
14446,0.0
14456,0.25
14466,0.125
14474,0.125
14486,0.0
14496,0.0
14506,-0.0625
14516,-0.4375
14523,-0.375
14536,-0.0625
14546,0.0
14556,-0.0625
14566,-0.25
14573,-0.1875
14573,-0.1875
14588,-0.125
14596,-0.125
14606,-0.1875
14616,-0.125
14623,0.0
14636,-0.0625
14646,0.0625
14656,-0.0625
14666,0.125
14673,-0.125
14686,-0.1875
14696,-0.25
14706,-4.3125
14716,-24.8125
14723,-12.1875
14723,-12.1875
14733,-3.5
14746,0.9375
14756,6.1875
14766,10.125
14773,15.625
14783,10.6875
14792,0.0
14800,0.0
14810,0.0
14820,0.0
14830,0.0
14840,0.0
14850,0.0
14860,0.0
14870,0.0
14870,0.0
14880,0.0
14890,0.0
14900,0.0
14910,0.0
14920,0.0
14930,0.0
14946,1.25
14956,2.625
14966,1.0
14973,-0.4375
14973,-0.4375
14986,-1.1875
14996,-1.625
15005,-3.0625
15015,-2.1875
15023,0.1875
15035,-0.5
15045,0.0625
15055,-0.4375
15065,-0.9375
15073,-1.5
15085,-1.1875
15095,-0.4375
15105,0.75
15114,2.125
15123,1.0625
15136,-1.5
15144,-1.0
15152,0.0
15163,-0.8125
15170,0.0
