Timestamp (ms),F_IMU_GYRO_Y
6944,-0.125
6953,-0.1875
6963,-0.0625
6973,-0.3125
6983,0.125
6993,0.1875
7003,0.0625
7013,-0.125
7023,0.0625
7023,0.0625
7033,0.3125
7043,0.0625
7053,-0.1875
7063,-0.3125
7073,-0.0625
7083,-0.0625
7094,-0.5
7103,-0.25
7113,0.125
7123,-0.0625
7138,-0.0625
7144,-0.0625
7153,0.0
7163,-0.1875
7173,-0.0625
7173,-0.0625
7184,-0.125
7194,0.0
7203,0.1875
7213,0.0
7224,-0.25
7234,0.0
7244,0.125
7254,-0.125
7264,-0.375
7274,-0.125
7289,-0.25
7294,0.0625
7304,0.0625
7314,0.0
7324,0.125
7324,0.125
7334,0.0
7344,-0.0625
7354,0.0
7364,0.125
7374,-0.25
7374,-0.25
7384,0.0
7394,-0.25
7404,-0.3125
7414,0.0
7424,-0.0625
7424,-0.0625
7434,-0.1875
7444,0.0
7454,0.0625
7464,-0.375
7474,0.0
7486,-0.0625
7494,-0.0625
7504,-0.0625
7514,-0.125
7524,-0.1875
7534,-0.125
7544,0.0
7554,0.25
7564,-0.0625
7574,0.125
7585,0.0
7594,-0.0625
7604,0.0
7614,-0.125
7624,0.125
7637,0.125
7645,-0.0625
7654,-0.0625
7664,0.0625
7675,0.0625
7685,-0.0625
7695,-0.25
7704,-0.1875
7714,-0.0625
7724,-0.0625
7724,-0.0625
7735,0.0
7745,-0.25
7754,0.0
7764,0.3125
7774,0.125
7774,0.125
7785,-0.125
7795,-0.25
7804,0.0625
7815,-0.0625
7825,0.0
7838,0.0
7845,0.0
7855,0.125
7865,-0.1875
7875,0.0
7885,0.0625
7895,-0.375
7904,-0.375
7915,-0.25
7925,-0.125
7935,-0.125
7945,0.125
7955,0.125
7965,0.0625
7975,0.25
7985,0.25
7995,0.25
8004,0.25
8015,0.1875
8025,-0.1875
8025,-0.1875
8036,-0.3125
8045,-0.1875
8054,-0.1875
8065,0.125
8075,0.3125
8075,0.3125
8088,-0.125
8095,0.0625
8104,0.0625
8115,-0.1875
8125,0.0625
8136,-0.3125
8145,-0.3125
8155,-0.3125
8165,0.0
8175,0.0
8186,0.0625
8195,0.0625
8204,0.0625
8215,0.375
8225,0.375
8236,-0.25
8246,-0.25
8255,0.0625
8266,0.125
8276,-0.0625
8287,-0.0625
8296,-0.0625
8304,-0.125
8316,0.0625
8325,0.125
8338,-0.0625
8346,-0.0625
8355,-0.4375
8366,-0.25
8376,-0.25
8376,-0.25
8387,0.0
8396,0.0
8404,-0.0625
8416,0.1875
8426,0.0625
8437,0.0
8446,0.0
8454,0.125
8466,0.0
8476,-0.125
8487,-0.0625
8496,-0.0625
8503,-0.0625
8516,-0.125
8526,-0.1875
8526,-0.1875
8537,0.0
8546,0.0
8554,0.125
8566,0.0625
8576,0.1875
8576,0.1875
8589,-0.0625
8596,-0.0625
8603,-0.0625
8616,-0.25
8626,-0.25
8637,-0.25
8646,-0.0625
8653,-0.0625
8666,0.0
8676,0.25
8687,-0.0625
8696,-0.0625
8703,-0.1875
8716,-0.125
8726,-0.0625
8726,-0.0625
8737,0.0
8746,0.0
8753,0.0625
8766,0.125
8776,-0.5
8787,-0.0625
8796,-0.0625
8803,-0.3125
8816,-0.125
8826,0.0
8839,0.125
8847,0.125
8853,0.0625
8866,0.0625
8876,-0.1875
8888,-0.25
8896,-0.25
8903,-0.25
8916,-0.125
8926,0.125
8938,0.125
8946,0.0
8953,-0.0625
8966,-0.375
8976,-0.25
8976,-0.25
8988,0.0
8996,0.0
9003,0.0625
9016,0.125
9026,0.0625
9038,-0.125
9045,0.0
9053,0.1875
9065,0.25
9075,-0.125
9088,-0.1875
9095,0.0625
9103,-0.0625
9115,-0.0625
9125,0.0
9139,-0.125
9146,-0.125
9153,0.0625
9165,-0.125
9175,0.125
9188,0.1875
9195,0.0
9203,0.125
9215,0.0
9225,-0.125
9237,-0.0625
9245,-0.0625
9253,-0.0625
9265,0.0
9274,-0.0625
9288,-0.1875
9294,-0.3125
9303,-0.375
9314,-0.3125
9324,-0.0625
9324,-0.0625
9346,0.1875
9353,0.0
9364,0.0
9374,0.125
9389,0.25
9394,0.0
9403,-0.3125
9414,-0.25
9424,-0.25
9434,0.0625
9444,-0.0625
9453,-0.125
9464,-0.1875
9474,-0.0625
9485,-0.125
9494,0.0
9503,0.125
9514,0.0
9523,-0.125
9539,-0.25
9544,-0.125
9553,-0.125
9563,0.25
9573,0.125
9583,0.25
9593,0.0625
9603,-0.125
9613,-0.1875
9623,-0.0625
9623,-0.0625
9634,-0.125
9643,-0.3125
9653,0.0
9663,0.0
9673,0.0
9673,0.0
9683,-0.25
9693,-0.0625
9703,0.25
9713,-0.1875
9723,-0.3125
9737,-0.1875
9743,-0.0625
9753,0.0
9763,0.1875
9773,0.1875
9783,-0.0625
9793,0.125
9803,0.125
9813,-0.0625
9823,0.1875
9823,0.1875
9833,0.0
9843,0.125
9853,0.125
9863,0.0
9873,-0.0625
9886,-0.125
9893,0.0
9903,-0.0625
9913,-0.0625
9923,-0.1875
9933,-0.125
9943,-0.0625
9953,-0.125
9963,0.0625
9973,-0.125
9983,0.0
9993,-0.125
10003,0.125
10013,0.0625
10023,0.125
10023,0.125
10036,0.125
10043,0.125
10053,-0.0625
10063,-0.125
10073,0.0625
10083,0.0625
10093,-0.1875
10104,-0.125
10113,-0.125
10123,-0.0625
10134,-0.0625
10143,-0.1875
10154,-0.0625
10163,-0.1875
10173,0.0
10188,-0.1875
10193,0.0625
10204,-0.125
10214,-0.125
10224,-0.0625
10234,-0.1875
10244,-0.0625
10254,-0.1875
10264,0.0
10274,0.0625
10284,0.0625
10294,-0.0625
10304,-0.125
10314,0.0
10324,0.1875
10334,-0.0625
10344,-0.0625
10354,0.1875
10364,0.0
10374,0.0
10388,0.0
10394,0.5625
10404,0.125
10414,0.625
10424,0.5
10424,0.5
10434,0.25
10444,-0.0625
10454,0.0
10464,0.0625
10474,-0.0625
10474,-0.0625
10484,-0.4375
10494,0.125
10504,0.25
10514,-0.125
10524,0.125
10536,0.0
10544,-0.25
10554,0.0
10564,-0.0625
10574,-0.125
10584,-0.625
10594,-0.1875
10604,-0.1875
10614,-0.125
10624,0.625
10635,0.4375
10644,-0.5625
10655,-0.1875
10664,-0.0625
10674,-0.125
10684,0.4375
10694,0.125
10705,-0.25
10714,-0.25
10724,0.1875
10738,0.1875
10744,0.375
10755,0.4375
10764,0.0
10774,-0.25
10785,0.0625
10795,0.125
10805,0.0625
10814,0.0625
10825,0.1875
10835,-0.1875
10845,-0.125
10855,0.1875
10864,0.0
10875,0.25
10886,0.0
10895,-0.125
10905,0.0
10914,0.0
10925,0.1875
10937,0.1875
10945,-0.6875
10955,-0.25
10965,-0.25
10975,0.3125
10985,0.75
10995,0.0
11005,-0.25
11014,-0.25
11025,-0.25
11036,0.125
11045,0.0
11055,-0.25
11065,-0.25
11075,0.0625
11086,0.1875
11095,0.25
11105,0.125
11114,0.125
11125,-0.1875
11136,-0.1875
11145,-0.1875
11155,0.0625
11165,0.0625
11175,0.375
11175,0.375
11187,-0.1875
11195,-0.1875
11206,-0.25
11214,-0.125
11225,-0.1875
11225,-0.1875
11236,0.1875
11246,0.1875
11256,0.1875
11264,-0.25
11275,-0.1875
11286,-0.1875
11296,-0.1875
11306,0.0
11314,-0.1875
11326,-0.0625
11336,-0.0625
11346,-0.0625
11356,-0.0625
11364,-0.25
11376,-0.25
11387,0.1875
11396,0.1875
11406,0.375
11414,0.125
11426,-0.125
11426,-0.125
11438,-0.125
11446,-0.125
11456,0.0625
11464,0.1875
11476,0.3125
11486,0.0625
11496,0.125
11506,0.0625
11513,0.0625
11526,0.125
11526,0.125
11536,0.0
11546,0.125
11556,0.0625
11564,-0.125
11576,0.0
11576,0.0
11587,0.0
11596,0.0
11606,0.0
11613,0.125
11626,0.125
